"['2023-07-07', '07:13:29', '88', '234']"
"['2023-07-07', '07:13:31', '113', '271']"
"['2023-07-07', '07:13:32', '77', '239']"
"['2023-07-07', '07:13:33', '76', '235']"
"['2023-07-07', '07:13:34', '82', '238']"
"['2023-07-07', '07:13:35', '147', '702']"
"['2023-07-07', '07:13:36', '486', '760']"
"['2023-07-07', '07:13:37', '78', '234']"
"['2023-07-07', '07:13:38', '0', '0']"
"['2023-07-07', '07:13:39', '0', '0']"
"['2023-07-07', '07:13:41', '0', '0']"
"['2023-07-07', '07:13:42', '0', '0']"
"['2023-07-07', '07:13:43', '0', '0']"
"['2023-07-07', '07:13:44', '0', '0']"
"['2023-07-07', '07:13:45', '0', '0']"
"['2023-07-07', '07:13:46', '235', '0']"
"['2023-07-07', '07:13:47', '0', '0']"
"['2023-07-07', '07:13:48', '78', '237']"
"['2023-07-07', '07:13:49', '83', '237']"
"['2023-07-07', '07:13:50', '77', '234']"
"['2023-07-07', '07:13:51', '77', '234']"
"['2023-07-07', '07:13:52', '76', '236']"
"['2023-07-07', '07:13:53', '77', '235']"
"['2023-07-07', '07:13:54', '78', '236']"
"['2023-07-07', '07:13:55', '81', '236']"
"['2023-07-07', '07:13:56', '79', '240']"
"['2023-07-07', '07:13:57', '78', '236']"
"['2023-07-07', '07:13:58', '79', '238']"
"['2023-07-07', '07:13:59', '130', '265']"
"['2023-07-07', '07:14:00', '84', '247']"
"['2023-07-07', '07:14:01', '83', '235']"
"['2023-07-07', '07:14:02', '82', '240']"
"['2023-07-07', '07:14:03', '82', '249']"
"['2023-07-07', '07:14:04', '77', '235']"
"['2023-07-07', '07:14:05', '80', '240']"
"['2023-07-07', '07:14:06', '90', '242']"
"['2023-07-07', '07:14:07', '76', '235']"
"['2023-07-07', '07:14:08', '80', '235']"
"['2023-07-07', '07:14:09', '78', '237']"
"['2023-07-07', '07:14:11', '151', '0']"
"['2023-07-07', '07:14:12', '0', '0']"
"['2023-07-07', '07:14:13', '0', '0']"
"['2023-07-07', '07:14:14', '0', '0']"
"['2023-07-07', '07:14:15', '0', '0']"
"['2023-07-07', '07:14:15', '81', '234']"
